1,"nd=2, pol4",1,8816,1184,299.7,10.755,167.85,59.57700328,147.97656,88.16
2,"nd=0, pol4",1,8794,1206,297.5,12.27,160.45,62.32471175,141.09973,87.94
3,"nd=4, pol 4",1,8659,1341,300.25,11.27,167.35,59.75500448,144.908365,86.59
4,"nd=4, pol4",1,8815,1185,300.3,10.565,172.35,58.02146794,151.926525,88.15
5,"nd=0, pol4",1,8656,1344,300.4,15.245,143,69.93006993,123.7808,86.56
6,"nd=0, pol4",1,8634,1366,300.25,13.16,164.4,60.82725061,141.94296,86.34
7,"nd=6, pol4",1,7736,2264,297.7,19.16,133.65,74.82229704,103.39164,77.36
8,"nd=0, pol4, rord=1",1,8496,1494,300.6,12.185,178.8,55.87248322,152.0605405,85.04504505
9,"nd=6, pol4, rord=1",1,9139,851,300.35,9.53,166.45,60.01802343,152.2709259,91.48148148
10,"nd=0, pol4, rord=1",1,8140,1850,299.7,14.32,154.65,64.59747818,126.0111111,81.48148148
