1,6532.0,3468.0,295.6,22.41,117.15,85.36064874093043,76.52238,65.32
2,7392.0,2608.0,300.25,21.195,107.2,93.28358208955224,79.24224,73.92
3,9516.0,484.0,100.2,7.31,86.75,115.27377521613833,82.5513,95.16
5,9359.0,641.0,100.2,12.655000000000001,80.25,124.61059190031153,75.105975,93.58999999999999
14,3980.0,6020.0,100.2,2.63,92.65,107.93308148947652,36.874700000000004,39.800000000000004
15,9116.0,884.0,299.6,7.525,187.39999999999998,53.361792956243335,170.83383999999998,91.16
16,9236.0,764.0,300.55,4.59,235.0,42.5531914893617,217.046,92.36
17,9904.0,96.0,100.2,1.72,96.7,103.41261633919338,95.77168,99.03999999999999
18,9931.0,69.0,100.2,1.375,96.4,103.7344398340249,95.73484,99.31
19,9909.0,91.0,100.2,1.33,98.0,102.04081632653062,97.1082,99.09
23,9874.0,126.0,100.2,2.0,94.7,105.59662090813093,93.50678,98.74000000000001
24,6341.0,3659.0,769.45,12.0,286.5,34.904013961605585,181.66965,63.41
25,8258.0,1742.0,670.8,12.58,226.14999999999998,44.21843908910016,186.75466999999998,82.58
