funcname,empid,id,status,amount,goal
SubmitApplication,User_1,Application_1190248480,A_Create Application,22500.0,Car
SubmitApplication,User_1,Application_1190248480,A_Submitted,22500.0,Car
A_Concept,User_1,Application_1190248480,A_Concept
A_Accepted,User_37,Application_1190248480,A_Accepted
A_Complete,User_37,Application_1190248480,A_Complete
A_Validating,User_116,Application_1190248480,A_Validating
A_Incomplete,User_115,Application_1190248480,A_Incomplete
A_Validating,User_120,Application_1190248480,A_Validating
A_Pending,User_115,Application_1190248480,A_Pending
SubmitApplication,User_1,Application_1649230612,A_Create Application,10000.0,Existing loan takeover
SubmitApplication,User_1,Application_1649230612,A_Submitted,10000.0,Existing loan takeover
A_Concept,User_1,Application_1649230612,A_Concept
A_Accepted,User_38,Application_1649230612,A_Accepted
A_Complete,User_38,Application_1649230612,A_Complete
A_Validating,User_112,Application_1649230612,A_Validating
A_Denied,User_90,Application_1649230612,A_Denied
SubmitApplication,User_18,Application_541009281,A_Create Application,25000.0,"Other, see explanation"
A_Concept,User_18,Application_541009281,A_Concept
A_Accepted,User_18,Application_541009281,A_Accepted
A_Complete,User_18,Application_541009281,A_Complete
A_Validating,User_118,Application_541009281,A_Validating
A_Denied,User_87,Application_541009281,A_Denied
SubmitApplication,User_35,Application_1404994331,A_Create Application,0.0,Unknown
A_Concept,User_35,Application_1404994331,A_Concept
A_Accepted,User_35,Application_1404994331,A_Accepted
A_Complete,User_35,Application_1404994331,A_Complete
A_Validating,User_113,Application_1404994331,A_Validating
A_Incomplete,User_29,Application_1404994331,A_Incomplete
A_Validating,User_113,Application_1404994331,A_Validating
A_Pending,User_29,Application_1404994331,A_Pending
SubmitApplication,User_1,Application_465243941,A_Create Application,30000.0,Home improvement
SubmitApplication,User_1,Application_465243941,A_Submitted,30000.0,Home improvement
A_Concept,User_1,Application_465243941,A_Concept
A_Accepted,User_11,Application_465243941,A_Accepted
A_Complete,User_11,Application_465243941,A_Complete
A_Cancelled,User_1,Application_465243941,A_Cancelled
SubmitApplication,User_38,Application_115289906,A_Create Application,0.0,Unknown
A_Concept,User_38,Application_115289906,A_Concept
A_Accepted,User_38,Application_115289906,A_Accepted
A_Complete,User_38,Application_115289906,A_Complete
A_Validating,User_118,Application_115289906,A_Validating
A_Incomplete,User_102,Application_115289906,A_Incomplete
A_Validating,User_119,Application_115289906,A_Validating
A_Pending,User_99,Application_115289906,A_Pending
SubmitApplication,User_18,Application_533036254,A_Create Application,48000.0,"Other, see explanation"
A_Concept,User_18,Application_533036254,A_Concept
A_Accepted,User_18,Application_533036254,A_Accepted
A_Complete,User_18,Application_533036254,A_Complete
A_Validating,User_112,Application_533036254,A_Validating
A_Incomplete,User_29,Application_533036254,A_Incomplete
A_Cancelled,User_19,Application_533036254,A_Cancelled
SubmitApplication,User_1,Application_1425945463,A_Create Application,6000.0,Car
SubmitApplication,User_1,Application_1425945463,A_Submitted,6000.0,Car
