funcname,empid,id,status,amount,goal
SubmitApplication,User_1,Application_1452087651,A_Create Application,5000.0,Existing loan takeover
SubmitApplication,User_1,Application_1452087651,A_Submitted,5000.0,Existing loan takeover
A_Concept,User_1,Application_1452087651,A_Concept
A_Accepted,User_41,Application_1452087651,A_Accepted
A_Complete,User_41,Application_1452087651,A_Complete
A_Cancelled,User_1,Application_1452087651,A_Cancelled
SubmitApplication,User_1,Application_961505598,A_Create Application,10000.0,Home improvement
SubmitApplication,User_1,Application_961505598,A_Submitted,10000.0,Home improvement
A_Concept,User_1,Application_961505598,A_Concept
A_Accepted,User_49,Application_961505598,A_Accepted
A_Complete,User_49,Application_961505598,A_Complete
A_Validating,User_117,Application_961505598,A_Validating
A_Pending,User_90,Application_961505598,A_Pending
SubmitApplication,User_1,Application_958076943,A_Create Application,40000.0,Home improvement
SubmitApplication,User_1,Application_958076943,A_Submitted,40000.0,Home improvement
A_Concept,User_1,Application_958076943,A_Concept
A_Accepted,User_13,Application_958076943,A_Accepted
A_Complete,User_13,Application_958076943,A_Complete
A_Cancelled,User_1,Application_958076943,A_Cancelled
SubmitApplication,User_41,Application_902019603,A_Create Application,0.0,Unknown
A_Concept,User_41,Application_902019603,A_Concept
A_Accepted,User_41,Application_902019603,A_Accepted
A_Complete,User_41,Application_902019603,A_Complete
A_Cancelled,User_1,Application_902019603,A_Cancelled
SubmitApplication,User_4,Application_1327252496,A_Create Application,0.0,Remaining debt home
A_Concept,User_4,Application_1327252496,A_Concept
A_Accepted,User_4,Application_1327252496,A_Accepted
A_Complete,User_4,Application_1327252496,A_Complete
A_Validating,User_113,Application_1327252496,A_Validating
A_Incomplete,User_99,Application_1327252496,A_Incomplete
A_Validating,User_116,Application_1327252496,A_Validating
A_Incomplete,User_99,Application_1327252496,A_Incomplete
A_Validating,User_114,Application_1327252496,A_Validating
A_Incomplete,User_99,Application_1327252496,A_Incomplete
A_Validating,User_10,Application_1327252496,A_Validating
A_Incomplete,User_99,Application_1327252496,A_Incomplete
A_Validating,User_70,Application_1327252496,A_Validating
A_Incomplete,User_99,Application_1327252496,A_Incomplete
